GitHub slug,Latitude,Longitude,Geocode precision
shop-zero,-33.9249,18.4241,city
the-unwrapped-co,-26.2041,28.0473,city
the-nest-space,-26.2041,28.0473,city
the-refill-den,-29.8587,31.0218,city
osem,-29.0852,26.1596,city
waste-not-groceries,-33.9608,25.6022,city
faithful-to-nature,-33.9249,18.4241,city
mama-hapa-s-zero-waste-shop,-1.2921,36.8219,country
vega-innovations,6.9271,79.8612,city
vnya,19.076,72.8777,city
green-mantra,12.9563,77.7011,city
zero-waste-refilling-station,11.0517,124.0055,city
cero-waste-shop,4.711,-74.0721,country
ecocarga,-33.0472,-71.6127,city
cero-residuo,41.3874,2.1686,city
repair-caf-international-foundation,52.3676,4.9041,city
repair-circle,52.52,13.405,city
cambridgeshire-repair-caf-network,52.2053,0.1218,city
library-of-things,51.5074,-0.1278,city
circular-library-network,39.8283,-98.5795,country
vigga,55.6761,12.5683,city
stylette,34.0522,-118.2437,city
designerex,-33.8688,151.2093,city
oioioi,47.3967,8.4472,city
circuly,52.0302,8.5325,city
borobabi,39.8283,-98.5795,country
ripe-organic-shop,25.2048,55.2708,city
the-green-ecostore,25.2048,55.2708,city
organic-foods-and-cafe,25.2048,55.2708,city
the-kind-market,30.0444,31.2357,country
akhdar-community,30.0444,31.2357,country
wecare-ecofriendly,30.0444,31.2357,country
house-of-bravo,-29.8587,31.0218,city
good-source,-29.7833,30.75,city
upcycle-zero-waste-shop,-26.2041,28.0473,city
zero-waste-store-namibia,-22.5609,17.0658,city
zero-waste-bali,-8.665,115.165,city
naked-inc,-6.2088,106.8456,city
saruga-pack-free-shopping-store,-6.2088,106.8456,city
eco-living-bali,-8.665,115.165,city
alive-whole-food-store,-8.6478,115.1385,city
circularshop-cl,-33.4489,-70.6693,city
olivo-y-nuez,-33.4489,-70.6693,city
eco-genius,-33.4489,-70.6693,city
re-pot-market,41.3874,2.1686,city
dragoner-a-a-granel,40.7419,-4.0567,city
my-best-life-cnx,18.7883,98.9853,city
palang-rak-store,13.7563,100.5018,city
siam-botanicals-refillery,13.7563,100.5018,city
less-plastic-able,18.7883,98.9853,city
foolfill-zero-waste-refill-corner,18.7883,98.9853,city
green-around-the-corner,10.8231,106.6297,city
go-eco-hanoi,21.0285,105.8542,city
refill-y,10.8231,106.6297,city
beverage-container-return-scheme-return-right-bcrs-ltd,1.3521,103.8198,country
re-turn-ireland-drs,53.3498,-6.2603,country
recycling-partners-jamaica-limited,17.9714,-76.7936,city
b-s-recycling,13.1132,-59.5988,country
earth-care-foundation,14.5995,120.9842,country
alpal-bulk-packaging,39.8283,-98.5795,country
bocoloco,48.8566,2.3522,country
the-bottless,48.8566,2.3522,country
cartonplast-group,52.52,13.405,country
carton-vert,48.8566,2.3522,country
petainer,51.5074,-0.1278,city
h-ppy-compagnie-gmbh-co-kg,52.52,13.405,country
carty,47.3486,0.6497,city
reconcil,48.8566,2.3522,city
berny,48.8566,2.3522,country
connected-load-carrier,51.6978,5.3037,city
greenland-innovations,39.8283,-98.5795,country
jibu,-1.2921,36.8219,country
recirclable,42.4154,-71.1565,city
ekko,43.4516,-80.4925,city
re-vita,53.5461,-113.4938,city
remarket,-34.9011,-56.1645,city
la-vida-a-granel,-0.9936,-77.8136,city
amada-granel,-33.4489,-70.6693,country
t-rkiye-s-national-deposit-management-system-doa-depozito-y-netim-sistemi-operated-by-t-a,39.9334,32.8597,country
smart-drs,48.1486,17.1077,city
rubbish-reusables,51.5074,-0.1278,country
